time;gFx;gFy;gFz;TgF
3.024000;0.0000;-0.0264;0.9919;0.992
3.036000;0.0000;-0.0254;0.9909;0.991
3.049000;0.0000;-0.0264;0.9909;0.991
3.054000;0.0000;-0.0264;0.9909;0.991
3.064000;0.0000;-0.0283;0.9919;0.992
3.074000;0.0000;-0.0264;0.9919;0.992
3.084000;0.0000;-0.0264;0.9919;0.992
3.096000;0.0000;-0.0264;0.9919;0.992
3.104000;0.0000;-0.0264;0.9919;0.992
3.114000;0.0000;-0.0254;0.9919;0.992
3.124000;0.0000;-0.0254;0.9909;0.991
3.136000;0.0000;-0.0264;0.9919;0.992
3.149000;0.0000;-0.0274;0.9938;0.994
3.154000;0.0000;-0.0264;0.9919;0.992
3.164000;0.0000;-0.0264;0.9929;0.993
3.175000;0.0000;-0.0264;0.9919;0.992
3.184000;0.0000;-0.0264;0.9929;0.993
3.197000;0.0000;-0.0264;0.9948;0.995
3.204000;0.0000;-0.0254;0.9919;0.992
3.221000;0.0000;-0.0264;0.9919;0.992
3.224000;0.0010;-0.0264;0.9909;0.991
3.239000;0.0000;-0.0264;0.9909;0.991
3.255000;0.0000;-0.0254;0.9919;0.992
3.257000;0.0000;-0.0254;0.9929;0.993
3.271000;0.0000;-0.0254;0.9929;0.993
3.274000;0.0000;-0.0264;0.9919;0.992
3.287000;0.0000;-0.0254;0.9919;0.992
3.302000;0.0000;-0.0264;0.9919;0.992
3.303000;0.0000;-0.0264;0.9919;0.992
3.319000;0.0000;-0.0264;0.9929;0.993
3.323000;0.0000;-0.0254;0.9938;0.994
3.335000;0.0000;-0.0254;0.9929;0.993
3.351000;0.0000;-0.0264;0.9919;0.992
3.353000;0.0000;-0.0264;0.9919;0.992
3.368000;0.0000;-0.0264;0.9919;0.992
3.373000;0.0000;-0.0264;0.9919;0.992
3.384000;0.0000;-0.0264;0.9919;0.992
3.402000;0.0000;-0.0254;0.9919;0.992
3.404000;0.0000;-0.0274;0.9919;0.992
3.418000;0.0000;-0.0264;0.9919;0.992
3.423000;0.0000;-0.0264;0.9929;0.993
3.434000;0.0000;-0.0254;0.9929;0.993
3.451000;0.0000;-0.0244;0.9929;0.993
3.453000;0.0000;-0.0254;0.9919;0.992
3.467000;0.0000;-0.0264;0.9919;0.992
3.473000;0.0000;-0.0264;0.9938;0.994
3.484000;0.0000;-0.0254;0.9919;0.992
3.500000;0.0000;-0.0254;0.9919;0.992
3.504000;0.0000;-0.0264;0.9929;0.993
3.514000;0.0000;-0.0264;0.9919;0.992
3.523000;0.0000;-0.0264;0.9919;0.992
3.538000;0.0000;-0.0264;0.9909;0.991
3.555000;0.0000;-0.0274;0.9919;0.992
3.557000;0.0000;-0.0264;0.9919;0.992
3.572000;0.0000;-0.0274;0.9919;0.992
3.575000;0.0000;-0.0274;0.9929;0.993
3.588000;0.0000;-0.0264;0.9929;0.993
3.605000;0.0000;-0.0264;0.9929;0.993
3.607000;0.0000;-0.0264;0.9919;0.992
3.621000;0.0000;-0.0274;0.9919;0.992
3.623000;0.0000;-0.0264;0.9919;0.992
3.635000;0.0000;-0.0264;0.9919;0.992
3.651000;0.0000;-0.0264;0.9919;0.992
3.653000;0.0000;-0.0274;0.9919;0.992
3.668000;0.0000;-0.0264;0.9909;0.991
3.673000;0.0000;-0.0264;0.9919;0.992
3.686000;0.0000;-0.0264;0.9938;0.994
3.694000;0.0000;-0.0264;0.9919;0.992
3.703000;0.0000;-0.0264;0.9938;0.994
3.717000;0.0000;-0.0264;0.9929;0.993
3.723000;0.0000;-0.0274;0.9919;0.992
3.734000;0.0000;-0.0264;0.9919;0.992
3.750000;0.0000;-0.0254;0.9919;0.992
3.753000;0.0000;-0.0264;0.9919;0.992
3.767000;0.0000;-0.0264;0.9909;0.991
3.773000;0.0000;-0.0274;0.9938;0.994
3.784000;0.0000;-0.0264;0.9919;0.992
3.800000;0.0000;-0.0264;0.9919;0.992
3.803000;0.0000;-0.0274;0.9919;0.992
3.817000;0.0000;-0.0264;0.9919;0.992
3.823000;0.0000;-0.0254;0.9919;0.992
3.834000;0.0000;-0.0283;0.9919;0.992
3.851000;0.0000;-0.0264;0.9919;0.992
3.854000;0.0000;-0.0264;0.9919;0.992
3.868000;0.0000;-0.0264;0.9919;0.992
3.873000;0.0000;-0.0264;0.9919;0.992
3.884000;0.0000;-0.0264;0.9929;0.993
3.901000;0.0000;-0.0264;0.9919;0.992
3.903000;0.0000;-0.0254;0.9919;0.992
3.918000;0.0000;-0.0254;0.9919;0.992
3.923000;0.0000;-0.0244;0.9929;0.993
3.935000;0.0000;-0.0264;0.9919;0.992
3.955000;0.0000;-0.0264;0.9919;0.992
3.956000;0.0000;-0.0264;0.9919;0.992
3.971000;0.0000;-0.0264;0.9909;0.991
3.974000;0.0000;-0.0264;0.9919;0.992
3.988000;0.0000;-0.0264;0.9919;0.992
4.004000;0.0000;-0.0264;0.9919;0.992
4.006000;0.0000;-0.0274;0.9919;0.992
4.021000;0.0000;-0.0254;0.9919;0.992
4.024000;0.0000;-0.0274;0.9919;0.992
4.038000;0.0000;-0.0264;0.9919;0.992
4.052000;0.0000;-0.0274;0.9948;0.995
4.053000;0.0000;-0.0264;0.9919;0.992
4.068000;0.0000;-0.0254;0.9919;0.992
4.074000;0.0000;-0.0264;0.9919;0.992
4.084000;0.0000;-0.0264;0.9938;0.994
4.100000;0.0000;-0.0264;0.9919;0.992
4.103000;0.0000;-0.0254;0.9909;0.991
4.119000;0.0000;-0.0264;0.9919;0.992
4.123000;0.0000;-0.0274;0.9929;0.993
4.134000;0.0000;-0.0264;0.9929;0.993
4.150000;0.0000;-0.0264;0.9938;0.994
4.153000;0.0000;-0.0254;0.9919;0.992
4.167000;0.0000;-0.0254;0.9919;0.992
4.174000;0.0000;-0.0264;0.9919;0.992
4.184000;0.0000;-0.0264;0.9919;0.992
4.195000;0.0000;-0.0264;0.9919;0.992
4.203000;0.0000;-0.0274;0.9919;0.992
4.213000;0.0000;-0.0274;0.9929;0.993
4.223000;0.0000;-0.0264;0.9929;0.993
4.233000;0.0000;-0.0264;0.9919;0.992
4.249000;0.0000;-0.0264;0.9919;0.992
4.253000;0.0000;-0.0264;0.9938;0.994
4.263000;0.0000;-0.0274;0.9929;0.993
4.273000;0.0000;-0.0264;0.9929;0.993
4.284000;0.0000;-0.0274;0.9929;0.993
4.295000;0.0000;-0.0264;0.9929;0.993
4.303000;0.0000;-0.0264;0.9929;0.993
4.314000;0.0000;-0.0264;0.9919;0.992
4.323000;0.0000;-0.0264;0.9919;0.992
4.334000;0.0000;-0.0274;0.9919;0.992
4.355000;0.0000;-0.0274;0.9919;0.992
4.357000;0.0000;-0.0254;0.9919;0.992
4.371000;0.0000;-0.0264;0.9919;0.992
4.374000;0.0000;-0.0274;0.9929;0.993
4.384000;0.0000;-0.0264;0.9919;0.992
4.401000;0.0000;-0.0274;0.9919;0.992
4.404000;0.0000;-0.0274;0.9919;0.992
4.415000;0.0000;-0.0264;0.9929;0.993
4.424000;0.0000;-0.0264;0.9929;0.993
4.435000;0.0000;-0.0254;0.9919;0.992
4.458000;0.0000;-0.0264;0.9919;0.992
4.461000;0.0000;-0.0264;0.9938;0.994
4.475000;0.0000;-0.0264;0.9929;0.993
4.479000;0.0000;-0.0264;0.9919;0.992
4.484000;0.0000;-0.0264;0.9919;0.992
4.495000;0.0000;-0.0254;0.9919;0.992
4.504000;0.0000;-0.0254;0.9929;0.993
4.514000;0.0000;-0.0264;0.9919;0.992
4.524000;0.0000;-0.0264;0.9919;0.992
4.534000;0.0000;-0.0264;0.9919;0.992
4.552000;0.0000;-0.0254;0.9919;0.992
4.554000;0.0000;-0.0264;0.9929;0.993
4.564000;0.0000;-0.0274;0.9929;0.993
4.574000;0.0000;-0.0264;0.9929;0.993
4.583000;0.0000;-0.0264;0.9938;0.994
4.596000;0.0000;-0.0264;0.9929;0.993
4.604000;0.0000;-0.0264;0.9919;0.992
4.615000;0.0000;-0.0264;0.9909;0.991
4.624000;0.0000;-0.0264;0.9919;0.992
4.634000;0.0000;-0.0264;0.9919;0.992
4.659000;0.0000;-0.0264;0.9919;0.992
4.666000;0.0000;-0.0254;0.9919;0.992
4.667000;0.0000;-0.0264;0.9919;0.992
4.674000;0.0000;-0.0264;0.9919;0.992
4.684000;0.0000;-0.0264;0.9919;0.992
4.699000;0.0000;-0.0264;0.9929;0.993
4.704000;0.0000;-0.0264;0.9919;0.992
4.715000;0.0000;-0.0264;0.9929;0.993
4.724000;0.0000;-0.0274;0.9919;0.992
4.734000;0.0000;-0.0264;0.9919;0.992
4.762000;0.0000;-0.0264;0.9909;0.991
4.766000;0.0000;-0.0274;0.9929;0.993
4.768000;0.0000;-0.0264;0.9929;0.993
4.774000;0.0000;-0.0264;0.9929;0.993
4.787000;0.0000;-0.0264;0.9919;0.992
4.798000;0.0000;-0.0264;0.9919;0.992
4.804000;0.0000;-0.0254;0.9929;0.993
4.815000;0.0000;-0.0254;0.9919;0.992
4.824000;0.0000;-0.0264;0.9909;0.991
4.834000;0.0000;-0.0264;0.9919;0.992
4.862000;0.0000;-0.0264;0.9929;0.993
4.866000;0.0000;-0.0264;0.9919;0.992
4.867000;0.0010;-0.0264;0.9938;0.994
4.874000;0.0000;-0.0274;0.9919;0.992
4.884000;0.0000;-0.0264;0.9919;0.992
4.896000;0.0000;-0.0254;0.9929;0.993
4.904000;0.0000;-0.0274;0.9929;0.993
4.914000;0.0000;-0.0274;0.9929;0.993
4.924000;0.0000;-0.0264;0.9929;0.993
4.934000;0.0000;-0.0264;0.9919;0.992
4.953000;0.0000;-0.0264;0.9919;0.992
4.955000;0.0000;-0.0254;0.9919;0.992
4.964000;0.0000;-0.0274;0.9919;0.992
4.974000;0.0000;-0.0264;0.9938;0.994
4.984000;0.0000;-0.0274;0.9938;0.994
4.996000;0.0000;-0.0264;0.9919;0.992
5.004000;0.0000;-0.0264;0.9929;0.993
5.014000;0.0000;-0.0264;0.9919;0.992
5.024000;0.0000;-0.0264;0.9919;0.992
5.034000;0.0000;-0.0254;0.9929;0.993
5.056000;0.0000;-0.0264;0.9929;0.993
5.059000;0.0000;-0.0264;0.9919;0.992
5.076000;0.0000;-0.0264;0.9929;0.993
5.079000;0.0000;-0.0264;0.9919;0.992
5.084000;0.0000;-0.0264;0.9919;0.992
5.097000;0.0000;-0.0283;0.9919;0.992
5.104000;0.0000;-0.0264;0.9919;0.992
5.114000;0.0000;-0.0264;0.9919;0.992
5.124000;0.0000;-0.0264;0.9919;0.992
5.135000;0.0000;-0.0274;0.9929;0.993
5.157000;0.0000;-0.0264;0.9929;0.993
5.160000;0.0000;-0.0274;0.9929;0.993
5.175000;0.0000;-0.0274;0.9919;0.992
5.179000;0.0000;-0.0264;0.9919;0.992
5.184000;0.0000;-0.0274;0.9919;0.992
5.196000;0.0000;-0.0264;0.9919;0.992
5.204000;0.0000;-0.0264;0.9919;0.992
5.214000;0.0000;-0.0274;0.9909;0.991
5.224000;0.0000;-0.0264;0.9919;0.992
5.234000;0.0000;-0.0274;0.9929;0.993
5.256000;0.0000;-0.0274;0.9919;0.992
5.259000;0.0000;-0.0264;0.9929;0.993
5.264000;0.0000;-0.0264;0.9909;0.991
5.274000;0.0000;-0.0264;0.9919;0.992
5.284000;0.0000;-0.0283;0.9919;0.992
5.297000;0.0000;-0.0264;0.9909;0.991
5.304000;0.0000;-0.0264;0.9919;0.992
5.314000;0.0000;-0.0264;0.9929;0.993
5.324000;0.0000;-0.0264;0.9929;0.993
5.334000;0.0000;-0.0264;0.9919;0.992
5.356000;0.0000;-0.0264;0.9919;0.992
5.359000;0.0000;-0.0264;0.9909;0.991
5.375000;0.0000;-0.0264;0.9919;0.992
5.379000;0.0000;-0.0264;0.9909;0.991
5.384000;0.0000;-0.0254;0.9919;0.992
5.396000;0.0000;-0.0264;0.9929;0.993
5.404000;0.0000;-0.0254;0.9909;0.991
5.414000;0.0000;-0.0274;0.9909;0.991
5.424000;0.0000;-0.0274;0.9919;0.992
5.434000;0.0000;-0.0274;0.9919;0.992
5.457000;0.0000;-0.0274;0.9909;0.991
5.461000;0.0000;-0.0254;0.9909;0.991
5.477000;0.0000;-0.0254;0.9919;0.992
5.480000;0.0000;-0.0254;0.9919;0.992
5.484000;0.0000;-0.0254;0.9919;0.992
5.496000;0.0000;-0.0254;0.9919;0.992
5.504000;0.0000;-0.0264;0.9929;0.993
5.514000;0.0000;-0.0254;0.9929;0.993
5.524000;0.0000;-0.0264;0.9919;0.992
5.534000;0.0000;-0.0264;0.9929;0.993
5.557000;0.0000;-0.0264;0.9919;0.992
